run_name,dx,d0,n_train,seed,tangent_oracle_mse_per_dim,tangent_oracle_mse_total,normal_mse,wall_time_seconds
dx128_d016_n10000_seed0,128,16,10000,0,0.031221481305360795,0.4995437008857727,2.481908564055946e-10,36.553234577178955
dx128_d016_n10000_seed1,128,16,10000,1,0.03398004710674286,0.5436807537078857,2.4839424428990675e-10,24.00511360168457
dx128_d016_n10000_seed2,128,16,10000,2,0.035906110656261446,0.5744977705001831,2.485070987240379e-10,48.86989188194275
dx128_d016_n2000_seed0,128,16,2000,0,0.3832767062187195,6.132427299499512,2.480190080422773e-10,10.34069299697876
dx128_d016_n2000_seed1,128,16,2000,1,0.37352861394882203,5.9764578231811525,2.487522394845065e-10,6.7081029415130615
dx128_d016_n2000_seed2,128,16,2000,2,0.3678258531093597,5.885213649749756,2.4777929455155335e-10,10.273512125015259
dx128_d016_n50000_seed0,128,16,50000,0,0.01916699856221676,0.30667197699546817,2.4853182641337847e-10,169.09036445617676
dx128_d016_n50000_seed1,128,16,50000,1,0.016027129423618315,0.25643407077789304,2.4805265876060023e-10,169.0233588218689
dx128_d016_n50000_seed2,128,16,50000,2,0.016880396708846092,0.27008634734153747,2.481038556462201e-10,117.41480326652527
dx128_d02_n10000_seed0,128,2,10000,0,0.01268148121535778,0.02536296243071556,2.483536424152666e-11,49.75165152549744
dx128_d02_n10000_seed1,128,2,10000,1,0.019946078810095788,0.039892157620191576,2.4774898749885256e-11,36.85354232788086
dx128_d02_n10000_seed2,128,2,10000,2,0.008326096282899379,0.016652192565798758,2.4874669540472795e-11,24.579787492752075
dx128_d02_n2000_seed0,128,2,2000,0,0.06310126874446868,0.12620253748893737,2.4747020844692602e-11,12.42670464515686
dx128_d02_n2000_seed1,128,2,2000,1,0.05787868962287903,0.11575737924575806,2.4898655848204498e-11,10.50788164138794
dx128_d02_n2000_seed2,128,2,2000,2,0.062187349247932434,0.12437469849586487,2.4928707510751825e-11,6.841627597808838
dx128_d02_n50000_seed0,128,2,50000,0,0.005779469852894545,0.01155893970578909,2.4748498364882132e-11,169.02270221710205
dx128_d02_n50000_seed1,128,2,50000,1,0.0058335438475012776,0.011667087695002555,2.49280112885053e-11,111.19539904594421
dx128_d02_n50000_seed2,128,2,50000,2,0.008453053648769856,0.01690610729753971,2.4918024142672745e-11,200.2519714832306
dx128_d04_n10000_seed0,128,4,10000,0,0.027336648416519164,0.10934659366607666,7.175163568781672e-11,38.02691411972046
dx128_d04_n10000_seed1,128,4,10000,1,0.03864986698031425,0.154599467921257,7.173178513814049e-11,37.51488637924194
dx128_d04_n10000_seed2,128,4,10000,2,0.03552645891904831,0.14210583567619323,7.171981255618687e-11,48.58179306983948
dx128_d04_n2000_seed0,128,4,2000,0,0.13098379883766173,0.5239351953506469,7.175711921984795e-11,10.222058534622192
dx128_d04_n2000_seed1,128,4,2000,1,0.1138556599855423,0.4554226399421692,7.174377364138618e-11,10.258423328399658
dx128_d04_n2000_seed2,128,4,2000,2,0.0921222288608551,0.3684889154434204,7.176710345238591e-11,6.580909013748169
dx128_d04_n50000_seed0,128,4,50000,0,0.014776857545971871,0.059107430183887484,7.175749332268e-11,166.9713225364685
dx128_d04_n50000_seed1,128,4,50000,1,0.015178178519010543,0.060712714076042174,7.184088907097319e-11,110.89562845230103
dx128_d04_n50000_seed2,128,4,50000,2,0.01316514746248722,0.05266058984994888,7.162400236133959e-11,168.62321376800537
dx128_d08_n10000_seed0,128,8,10000,0,0.025226996594667435,0.20181597275733948,1.0212524798602907e-10,37.01483106613159
dx128_d08_n10000_seed1,128,8,10000,1,0.03763140569329262,0.30105124554634094,1.0176736607164782e-10,37.126569986343384
dx128_d08_n10000_seed2,128,8,10000,2,0.025293587335944175,0.2023486986875534,9.820874722621386e-11,26.537347555160522
dx128_d08_n2000_seed0,128,8,2000,0,0.140992588865757,1.127940710926056,1.0197839458436775e-10,10.117250919342041
dx128_d08_n2000_seed1,128,8,2000,1,0.18102477431297304,1.4481981945037843,9.782133049071607e-11,7.553619384765625
